energy	cross_section
1e-11	1192.16
1.0584e-11	1160.31
1.12022e-11	1126.61
1.18564e-11	1096.02
1.25489e-11	1064.4
1.32818e-11	1035.31
1.40575e-11	1006.08
1.48785e-11	977.664
1.57475e-11	950.631
1.66672e-11	923.934
1.76406e-11	898.004
1.86709e-11	874.026
1.97613e-11	848.648
2.09155e-11	825.066
2.2137e-11	801.635
2.34299e-11	779.254
2.47983e-11	757.596
2.62466e-11	736.324
2.77795e-11	715.745
2.94019e-11	696.496
3.11191e-11	676.124
3.29366e-11	657.871
3.48602e-11	638.824
3.68962e-11	621.462
3.9051e-11	603.647
4.13318e-11	587.033
4.37457e-11	570.576
4.63006e-11	554.314
4.90047e-11	539.043
5.18668e-11	524.322
5.4896e-11	509.555
5.81022e-11	495.318
6.14955e-11	481.325
6.50871e-11	468.006
6.88884e-11	454.584
7.29118e-11	442.137
7.71701e-11	429.753
8.16771e-11	417.579
8.64474e-11	405.981
9.14962e-11	395.111
9.68399e-11	383.998
1.02496e-10	373.128
1.08482e-10	362.818
1.14818e-10	352.521
1.21523e-10	342.752
1.28621e-10	333.15
1.36133e-10	323.737
1.44083e-10	314.828
1.52498e-10	305.954
1.61405e-10	297.368
1.70832e-10	289.158
1.80809e-10	281.313
1.91369e-10	273.558
2.02545e-10	265.638
2.14375e-10	258.289
2.26895e-10	251.123
2.40147e-10	244.05
2.54172e-10	237.25
2.69017e-10	230.699
2.84728e-10	224.463
3.01357e-10	218.246
3.18958e-10	212.065
3.37586e-10	206.254
3.57302e-10	200.444
3.7817e-10	194.906
4.00257e-10	189.505
4.23633e-10	184.145
4.48375e-10	179.14
4.74562e-10	174.163
5.02278e-10	169.296
5.31613e-10	164.801
5.62661e-10	160.047
5.95522e-10	155.791
6.30303e-10	151.383
6.67115e-10	147.284
7.06077e-10	143.211
7.47315e-10	139.21
7.90961e-10	135.445
8.37156e-10	131.725
8.86049e-10	128.124
9.37797e-10	124.757
9.92568e-10	121.193
1.05054e-09	117.99
1.11189e-09	114.688
1.17683e-09	111.627
1.24556e-09	108.503
1.31831e-09	105.634
1.3953e-09	102.731
1.47679e-09	99.96
1.56304e-09	97.2827
1.65433e-09	94.6457
1.75095e-09	92.0754
1.85321e-09	89.7503
1.96145e-09	87.2893
2.076e-09	84.9545
2.19725e-09	82.6512
2.32558e-09	80.4917
2.4614e-09	78.3718
2.60515e-09	76.2958
2.75731e-09	74.2818
2.91834e-09	72.4394
3.08878e-09	70.4893
3.26918e-09	68.7045
3.46011e-09	66.8897
3.6622e-09	65.2044
3.87608e-09	63.4833
4.10246e-09	61.9146
4.34206e-09	60.336
4.59565e-09	58.8039
4.86406e-09	57.3539
5.14813e-09	55.9533
5.4488e-09	54.5796
5.76704e-09	53.2298
6.10385e-09	51.9377
6.46034e-09	50.688
6.83765e-09	49.452
7.23699e-09	48.3029
7.65966e-09	47.1603
8.10701e-09	46.049
8.58049e-09	45.0037
9.08162e-09	44.0146
9.61202e-09	43.0284
1.01734e-08	42.0437
1.07676e-08	41.1415
1.13964e-08	40.2236
1.2062e-08	39.3806
1.27665e-08	38.5396
1.35121e-08	37.7384
1.43013e-08	36.9732
1.51365e-08	36.2174
1.60205e-08	35.5061
1.69562e-08	34.8219
1.79465e-08	34.1723
1.89946e-08	33.5502
2.0104e-08	32.904
2.12782e-08	32.3447
2.25209e-08	31.7527
2.38362e-08	31.2297
2.52283e-08	30.6882
2.67017e-08	30.2126
2.82612e-08	29.7144
2.99118e-08	29.2725
3.16587e-08	28.8201
3.35077e-08	28.4114
3.54647e-08	28.0085
3.7536e-08	27.6189
3.97282e-08	27.2609
4.20485e-08	26.9126
4.45043e-08	26.5831
4.71035e-08	26.2801
4.98545e-08	25.9594
5.27662e-08	25.6871
5.58479e-08	25.4026
5.91097e-08	25.1517
6.25619e-08	24.8945
6.62157e-08	24.6689
7.0083e-08	24.4434
7.41761e-08	24.2314
7.85083e-08	24.034
8.30934e-08	23.8432
8.79464e-08	23.6621
9.30828e-08	23.503
9.85192e-08	23.3345
1.04273e-07	23.1851
1.10363e-07	23.0376
1.16809e-07	22.902
1.23631e-07	22.7694
1.30851e-07	22.6494
1.38493e-07	22.53
1.46582e-07	22.4223
1.55143e-07	22.3186
1.64204e-07	22.2189
1.73794e-07	22.1259
1.83944e-07	22.0435
1.94687e-07	21.9587
2.06058e-07	21.8783
2.18092e-07	21.802
2.30829e-07	21.7333
2.44311e-07	21.6665
2.58579e-07	21.6026
2.73681e-07	21.5429
2.89665e-07	21.4899
3.06583e-07	21.4349
3.24489e-07	21.3849
3.4344e-07	21.3363
3.63498e-07	21.2914
3.84728e-07	21.2474
4.07197e-07	21.2079
4.30979e-07	21.1694
4.5615e-07	21.1358
4.82791e-07	21.1003
5.10988e-07	21.0673
5.40831e-07	21.04
5.72418e-07	21.0111
6.05849e-07	20.9806
6.41233e-07	20.9531
6.78683e-07	20.9301
7.18321e-07	20.9058
7.60273e-07	20.8818
8.04676e-07	20.8622
8.51672e-07	20.8414
9.01413e-07	20.8223
9.54059e-07	20.8047
1.00978e-06	20.7871
1.06875e-06	20.7732
1.13117e-06	20.7585
1.19724e-06	20.7429
1.26716e-06	20.7278
1.34117e-06	20.716
1.4195e-06	20.7036
1.5024e-06	20.6905
1.59015e-06	20.6804
1.68302e-06	20.6698
1.78131e-06	20.6594
1.88535e-06	20.6503
1.99546e-06	20.6408
2.112e-06	20.6341
2.23535e-06	20.6271
2.3659e-06	20.6198
2.50408e-06	20.612
2.65033e-06	20.6038
2.80512e-06	20.5964
2.96895e-06	20.591
3.14235e-06	20.5853
3.32587e-06	20.5793
3.52011e-06	20.5731
3.7257e-06	20.5687
3.9433e-06	20.5639
4.1736e-06	20.559
4.41735e-06	20.5547
4.67534e-06	20.5507
4.9484e-06	20.5464
5.2374e-06	20.5431
5.54329e-06	20.5398
5.86704e-06	20.5363
6.20969e-06	20.5326
6.57236e-06	20.5298
6.95621e-06	20.527
7.36248e-06	20.524
7.79248e-06	20.5214
8.24759e-06	20.519
8.72928e-06	20.5164
9.2391e-06	20.5142
9.7787e-06	20.512
1.03498e-05	20.51
1.09543e-05	20.5082
1.15941e-05	20.5063
1.22712e-05	20.5043
1.29879e-05	20.5026
1.37464e-05	20.5011
1.45493e-05	20.4994
1.5399e-05	20.4979
1.62983e-05	20.4965
1.72502e-05	20.4951
1.82577e-05	20.4938
1.9324e-05	20.4926
2.04526e-05	20.4914
2.16471e-05	20.4905
2.29114e-05	20.4895
2.42495e-05	20.4884
2.56658e-05	20.4873
2.71647e-05	20.4861
2.87513e-05	20.4853
3.04305e-05	20.4845
3.22077e-05	20.4836
3.40888e-05	20.4827
3.60797e-05	20.4819
3.81869e-05	20.4812
