energy	h1_total	o16_total
1e-05	1192.16	56.1524
1.0584e-05	1160.31	54.6582
1.12022e-05	1126.61	53.0768
1.18564e-05	1096.02	51.6423
1.25489e-05	1064.4	50.1588
1.32818e-05	1035.31	48.7948
1.40575e-05	1006.08	47.4245
1.48785e-05	977.664	46.0921
1.57475e-05	950.631	44.825
1.66672e-05	923.934	43.5738
1.76406e-05	898.004	42.3587
1.86709e-05	874.026	41.2355
1.97613e-05	848.648	40.0467
2.09155e-05	825.066	38.9424
2.2137e-05	801.635	37.8454
2.34299e-05	779.254	36.7978
2.47983e-05	757.596	35.7843
2.62466e-05	736.324	34.7892
2.77795e-05	715.745	33.8267
2.94019e-05	696.496	32.9269
3.11191e-05	676.124	31.9745
3.29366e-05	657.871	31.1218
3.48602e-05	638.824	30.232
3.68962e-05	621.462	29.4214
3.9051e-05	603.647	28.5899
4.13318e-05	587.033	27.8148
4.37457e-05	570.576	27.0474
4.63006e-05	554.314	26.2894
4.90047e-05	539.043	25.578
5.18668e-05	524.322	24.8927
5.4896e-05	509.555	24.2055
5.81022e-05	495.318	23.5433
6.14955e-05	481.325	22.8929
6.50871e-05	468.006	22.2743
6.88884e-05	454.584	21.6512
7.29118e-05	442.137	21.074
7.71701e-05	429.753	20.5
8.16771e-05	417.579	19.9362
8.64474e-05	405.981	19.3996
9.14962e-05	395.111	18.8974
9.68399e-05	383.998	18.3842
0.000102496	373.128	17.8827
0.000108482	362.818	17.4076
0.000114818	352.521	16.9336
0.000121523	342.752	16.4846
0.000128621	333.15	16.0437
0.000136133	323.737	15.612
0.000144083	314.828	15.2043
0.000152498	305.954	14.7985
0.000161405	297.368	14.4066
0.000170832	289.158	14.0326
0.000180809	281.313	13.6761
0.000191369	273.558	13.3241
0.000202545	265.638	12.965
0.000214375	258.289	12.6328
0.000226895	251.123	12.3097
0.000240147	244.05	11.9944
0.000254172	237.25	11.7056
0.000269017	230.699	11.3999
0.000284728	224.463	11.1148
0.000301357	218.246	10.8381
0.000318958	212.065	10.5636
0.000337586	206.254	10.3067
0.000357302	200.444	10.0505
0.00037817	194.906	9.80737
0.000400257	189.505	9.5711
0.000423633	184.145	9.33734
0.000448375	179.14	9.12042
0.000474562	174.163	8.90541
0.000502278	169.296	8.69609
0.000531613	164.801	8.50433
0.000562661	160.047	8.30154
0.000595522	155.791	8.12192
0.000630303	151.383	7.93614
0.000667115	147.284	7.76502
0.000706077	143.211	7.59578
0.000747315	139.21	7.43047
