energy	cross_section
1e-11	56.1524
1.0584e-11	54.6582
1.12022e-11	53.0768
1.18564e-11	51.6423
1.25489e-11	50.1588
1.32818e-11	48.7948
1.40575e-11	47.4245
1.48785e-11	46.0921
1.57475e-11	44.825
1.66672e-11	43.5738
1.76406e-11	42.3587
1.86709e-11	41.2355
1.97613e-11	40.0467
2.09155e-11	38.9424
2.2137e-11	37.8454
2.34299e-11	36.7978
2.47983e-11	35.7843
2.62466e-11	34.7892
2.77795e-11	33.8267
2.94019e-11	32.9269
3.11191e-11	31.9745
3.29366e-11	31.1218
3.48602e-11	30.232
3.68962e-11	29.4214
3.9051e-11	28.5899
4.13318e-11	27.8148
4.37457e-11	27.0474
4.63006e-11	26.2894
4.90047e-11	25.578
5.18668e-11	24.8927
5.4896e-11	24.2055
5.81022e-11	23.5433
6.14955e-11	22.8929
6.50871e-11	22.2743
6.88884e-11	21.6512
7.29118e-11	21.074
7.71701e-11	20.5
8.16771e-11	19.9362
8.64474e-11	19.3996
9.14962e-11	18.8974
9.68399e-11	18.3842
1.02496e-10	17.8827
1.08482e-10	17.4076
1.14818e-10	16.9336
1.21523e-10	16.4846
1.28621e-10	16.0437
1.36133e-10	15.612
1.44083e-10	15.2043
1.52498e-10	14.7985
1.61405e-10	14.4066
1.70832e-10	14.0326
1.80809e-10	13.6761
1.91369e-10	13.3241
2.02545e-10	12.965
2.14375e-10	12.6328
2.26895e-10	12.3097
2.40147e-10	11.9944
2.54172e-10	11.7056
2.69017e-10	11.3999
2.84728e-10	11.1148
3.01357e-10	10.8381
3.18958e-10	10.5636
3.37586e-10	10.3067
3.57302e-10	10.0505
3.7817e-10	9.80737
4.00257e-10	9.5711
4.23633e-10	9.33734
4.48375e-10	9.12042
4.74562e-10	8.90541
5.02278e-10	8.69609
5.31613e-10	8.50433
5.62661e-10	8.30154
5.95522e-10	8.12192
6.30303e-10	7.93614
6.67115e-10	7.76502
7.06077e-10	7.59578
7.47315e-10	7.43047
7.90961e-10	7.28499
8.37156e-10	7.13306
8.86049e-10	6.97995
9.37797e-10	6.84576
9.92568e-10	6.70374
1.05054e-09	6.57825
1.11189e-09	6.4493
1.17683e-09	6.33153
1.24556e-09	6.21188
1.31831e-09	6.10397
1.3953e-09	5.99536
1.47679e-09	5.8932
1.56304e-09	5.80007
1.65433e-09	5.70734
1.75095e-09	5.60941
1.85321e-09	5.52882
1.96145e-09	5.44353
2.076e-09	5.36761
2.19725e-09	5.29498
2.32558e-09	5.2181
2.4614e-09	5.14977
2.60515e-09	5.08535
2.75731e-09	5.0179
2.91834e-09	4.96194
3.08878e-09	4.9027
3.26918e-09	4.85016
3.46011e-09	4.79725
3.6622e-09	4.75265
3.87608e-09	4.70843
4.10246e-09	4.66162
4.34206e-09	4.61761
4.59565e-09	4.58044
4.86406e-09	4.54109
5.14813e-09	4.50626
5.4488e-09	4.47603
5.76704e-09	4.44403
6.10385e-09	4.41016
6.46034e-09	4.38129
6.83765e-09	4.35586
7.23699e-09	4.32894
7.65966e-09	4.30351
8.10701e-09	4.28193
8.58049e-09	4.25908
9.08162e-09	4.23889
9.61202e-09	4.21968
1.01734e-08	4.20122
1.07676e-08	4.18615
1.13964e-08	4.1702
1.2062e-08	4.15331
1.27665e-08	4.13769
1.35121e-08	4.12508
1.43013e-08	4.11173
1.51365e-08	4.09826
1.60205e-08	4.08757
1.69562e-08	4.07626
1.79465e-08	4.06565
1.89946e-08	4.05615
2.0104e-08	4.04638
2.12782e-08	4.03902
2.25209e-08	4.03123
2.38362e-08	4.02298
2.52283e-08	4.01425
2.67017e-08	4.00913
2.82612e-08	4.00394
2.99118e-08	3.99844
3.16587e-08	3.99262
3.35077e-08	3.98646
3.54647e-08	3.97994
3.7536e-08	3.97304
3.97282e-08	3.96916
4.20485e-08	3.96525
4.45043e-08	3.96111
4.71035e-08	3.95673
4.98545e-08	3.95209
5.27662e-08	3.94903
5.58479e-08	3.9459
5.91097e-08	3.94259
6.25619e-08	3.93911
6.62157e-08	3.93663
7.0083e-08	3.93401
7.41761e-08	3.93124
7.85083e-08	3.92899
8.30934e-08	3.92677
8.79464e-08	3.92447
9.30828e-08	3.92261
9.85192e-08	3.92064
1.04273e-07	3.91901
1.10363e-07	3.91747
1.16809e-07	3.91583
1.23631e-07	3.9141
1.30851e-07	3.91276
1.38493e-07	3.91146
1.46582e-07	3.91009
1.55143e-07	3.90889
1.64204e-07	3.90779
1.73794e-07	3.90663
1.83944e-07	3.90568
1.94687e-07	3.9047
2.06058e-07	3.90387
2.18092e-07	3.90317
2.30829e-07	3.90244
2.44311e-07	3.90166
2.58579e-07	3.90083
2.73681e-07	3.89996
2.89665e-07	3.8994
3.06583e-07	3.89884
3.24489e-07	3.89825
3.4344e-07	3.89762
3.63498e-07	3.89712
3.84728e-07	3.89667
4.07197e-07	3.89619
4.30979e-07	3.89572
4.5615e-07	3.89534
4.82791e-07	3.89494
5.10988e-07	3.89457
5.40831e-07	3.89427
5.72418e-07	3.89394
6.05849e-07	3.8936
6.41233e-07	3.8933
6.78683e-07	3.89304
7.18321e-07	3.89278
7.60273e-07	3.89251
8.04676e-07	3.89229
8.51672e-07	3.89207
9.01413e-07	3.89186
9.54059e-07	3.89167
1.00978e-06	3.89147
1.06875e-06	3.89132
1.13117e-06	3.89116
1.19724e-06	3.89099
1.26716e-06	3.89083
1.34117e-06	3.8907
1.4195e-06	3.89057
1.5024e-06	3.89043
1.59015e-06	3.89033
1.68302e-06	3.89021
1.78131e-06	3.8901
1.88535e-06	3.89001
1.99546e-06	3.88991
2.112e-06	3.88984
2.23535e-06	3.88976
2.3659e-06	3.88969
2.50408e-06	3.88961
2.65033e-06	3.88952
2.80512e-06	3.88945
2.96895e-06	3.88939
3.14235e-06	3.88933
3.32587e-06	3.88927
3.52011e-06	3.88921
3.7257e-06	3.88916
3.9433e-06	3.88912
4.1736e-06	3.88907
4.41735e-06	3.88903
4.67534e-06	3.88899
4.9484e-06	3.88894
5.2374e-06	3.88891
5.54329e-06	3.88888
5.86704e-06	3.88885
6.20969e-06	3.88881
6.57236e-06	3.88878
6.95621e-06	3.88876
7.36248e-06	3.88873
7.79248e-06	3.8887
8.24759e-06	3.88868
8.72928e-06	3.88865
9.2391e-06	3.88863
9.7787e-06	3.88861
1.03498e-05	3.88859
1.09543e-05	3.88858
1.15941e-05	3.88856
1.22712e-05	3.88854
1.29879e-05	3.88852
1.37464e-05	3.88851
1.45493e-05	3.88849
1.5399e-05	3.88848
1.62983e-05	3.88847
1.72502e-05	3.88845
1.82577e-05	3.88844
1.9324e-05	3.88843
2.04526e-05	3.88842
2.16471e-05	3.88841
2.29114e-05	3.8884
2.42495e-05	3.88838
2.56658e-05	3.88837
2.71647e-05	3.88836
2.87513e-05	3.88835
3.04305e-05	3.88834
3.22077e-05	3.88833
3.40888e-05	3.88832
3.60797e-05	3.88831
3.81869e-05	3.8883
4.04171e-05	3.88829
4.27776e-05	3.88828
4.5276e-05	3.88827
4.79203e-05	3.88826
5.0719e-05	3.88825
5.36812e-05	3.88824
5.68164e-05	3.88823
6.01346e-05	3.88822
6.36467e-05	3.88821
6.73639e-05	3.8882
7.12982e-05	3.88818
7.54623e-05	3.88817
7.98696e-05	3.88816
8.45343e-05	3.88815
8.94714e-05	3.88813
9.46969e-05	3.88812
0.000100228	3.8881
0.000106081	3.88809
0.000112277	3.88807
0.000118834	3.88806
0.000125774	3.88804
0.00013312	3.88802
0.000140895	3.888
0.000149124	3.88798
0.000157833	3.88796
0.000167051	3.88794
0.000176807	3.88791
0.000187134	3.88789
0.000198063	3.88786
0.000209631	3.88784
0.000221874	3.88781
0.000234832	3.88778
0.000248547	3.88774
0.000263063	3.88771
0.000278427	3.88767
0.000294688	3.88764
0.000311899	3.8876
0.000330115	3.88755
0.000349395	3.88751
0.000369801	3.88746
0.000391399	3.88741
0.000414258	3.88736
0.000438452	3.8873
0.00046406	3.88724
0.000491162	3.88718
0.000519848	3.88711
0.000550209	3.88704
0.000582344	3.88697
0.000616355	3.88689
0.000652352	3.88681
0.000690452	3.88672
0.000730777	3.88662
0.000773457	3.88653
0.00081863	3.88642
0.000866441	3.88631
0.000917044	3.8862
0.000970603	3.88607
0.00102729	3.88594
0.00108729	3.8858
0.00115079	3.88565
0.001218	3.8855
0.00128913	3.88533
0.00136443	3.88516
0.00144411	3.88497
0.00152845	3.88477
0.00161772	3.88457
0.0017122	3.88435
0.0018122	3.88411
0.00191804	3.88387
0.00203006	3.88361
0.00214862	3.88333
0.00227411	3.88304
0.00240693	3.88273
0.0025475	3.8824
0.00269629	3.88206
0.00285376	3.88169
0.00302043	3.8813
0.00319683	3.88089
0.00338354	3.88046
0.00358115	3.88
0.00379031	3.87951
0.00401167	3.879
0.00424597	3.87845
0.00449395	3.87788
0.00475641	3.87727
0.00503421	3.87662
0.00532822	3.87594
0.00563941	3.87522
0.00596877	3.87445
0.00631737	3.87364
0.00668633	3.87279
0.00707684	3.87188
0.00749015	3.87092
0.0079276	3.86991
0.00839061	3.86883
0.00888065	3.8677
0.00939931	3.86649
0.00994827	3.86522
0.0105293	3.86391
0.0111442	3.86253
0.0117951	3.86107
0.012484	3.85952
0.0132131	3.85788
0.0139848	3.85614
0.0148015	3.85431
0.015666	3.85237
0.016581	3.85031
0.0175493	3.84813
0.0185743	3.84583
0.0196591	3.84339
0.0208073	3.84081
0.0220225	3.83808
0.0233087	3.83519
0.02467	3.83213
0.0261108	3.82889
0.0276358	3.82546
0.0292498	3.82184
0.0309581	3.818
0.0327662	3.81393
0.0346799	3.80963
0.0367053	3.80508
0.038849	3.80026
0.041118	3.79516
0.0435194	3.78977
0.0460611	3.78405
0.0487512	3.77801
0.0515985	3.77186
0.054612	3.76557
0.0578016	3.75891
0.0611774	3.75186
0.0647504	3.7444
0.0685321	3.73651
0.0725346	3.72815
0.0767709	3.7193
0.0812546	3.70994
0.0860001	3.70003
0.0910229	3.68954
0.0963389	3.67845
0.101966	3.66715
0.107921	3.65607
0.114224	3.64434
0.120895	3.63194
0.127955	3.6188
0.135429	3.6049
0.143338	3.59019
0.15171	3.57523
0.16057	3.56188
0.169948	3.54776
0.179873	3.53281
0.190379	3.51699
0.201497	3.50085
0.213266	3.48785
0.225721	3.47611
0.238904	3.46623
0.252857	3.46245
0.267625	3.46512
0.283255	3.47807
0.299798	3.50835
0.317308	3.57654
0.33584	3.71279
0.355454	3.99857
0.376214	4.67326
0.398186	6.60366
0.421442	12.9639
0.446055	13.8112
0.472107	6.7174
0.499679	4.49365
0.528863	3.70368
0.55975	3.32699
0.592442	3.1108
0.627042	2.96733
0.663664	2.86122
0.702424	2.78182
0.743449	2.7275
0.786869	2.70914
0.832825	2.76609
0.881465	3.03715
0.932946	4.17216
0.987433	7.81646
1.0451	5.59024
1.10614	3.51697
1.17074	2.85027
1.23912	2.7447
1.31149	6.67831
1.38808	2.50677
1.46915	2.10564
1.55496	1.93393
1.64577	2.81251
1.74189	1.69088
1.84363	2.34156
1.9513	1.81195
2.06526	1.49166
2.18588	1.28669
2.31355	0.413298
2.44867	0.889714
2.59168	1.09107
2.74304	1.09056
2.90324	1.08653
3.07281	1.39659
3.25227	2.90309
3.44221	4.69243
3.64325	3.06214
3.85603	2.40934
4.08124	1.21681
4.3196	2.97512
4.57188	1.32462
4.83889	2.01998
5.1215	3.51093
5.42062	0.980783
5.7372	1.39248
6.07227	1.33516
6.42692	1.10433
6.80227	1.41935
7.19955	1.82295
7.62003	1.15627
8.06507	0.901081
8.5361	1.11363
9.03464	1.3291
9.5623	1.21637
10.1208	1.40296
10.7119	1.2349
11.3375	1.6301
11.9996	1.64883
12.7004	1.55214
13.4422	1.5974
14.2273	1.61566
15.0582	1.75609
15.9377	1.59484
16.8685	1.58627
17.8537	1.62471
18.8964	1.67883
20	1.6398
