energy	cross_section
1e-11	136.203
1.0584e-11	132.563
1.12022e-11	128.711
1.18564e-11	125.216
1.25489e-11	121.602
1.32818e-11	118.278
1.40575e-11	114.938
1.48785e-11	111.69
1.57475e-11	108.6
1.66672e-11	105.549
1.76406e-11	102.586
1.86709e-11	99.8454
1.97613e-11	96.9449
2.09155e-11	94.2497
2.2137e-11	91.5717
2.34299e-11	89.0136
2.47983e-11	86.5382
2.62466e-11	84.1069
2.77795e-11	81.7546
2.94019e-11	79.5544
3.11191e-11	77.2258
3.29366e-11	75.1393
3.48602e-11	72.962
3.68962e-11	70.9773
3.9051e-11	68.9408
4.13318e-11	67.0414
4.37457e-11	65.16
4.63006e-11	63.3008
4.90047e-11	61.5548
5.18668e-11	59.8717
5.4896e-11	58.1833
5.81022e-11	56.5554
6.14955e-11	54.9553
6.50871e-11	53.4322
6.88884e-11	51.8973
7.29118e-11	50.4737
7.71701e-11	49.0574
8.16771e-11	47.665
8.64474e-11	46.3384
9.14962e-11	45.0949
9.68399e-11	43.8236
1.02496e-10	42.58
1.08482e-10	41.4004
1.14818e-10	40.2223
1.21523e-10	39.1044
1.28621e-10	38.0055
1.36133e-10	36.9281
1.44083e-10	35.9085
1.52498e-10	34.8926
1.61405e-10	33.9096
1.70832e-10	32.9695
1.80809e-10	32.0711
1.91369e-10	31.1829
2.02545e-10	30.2758
2.14375e-10	29.4339
2.26895e-10	28.6129
2.40147e-10	27.8023
2.54172e-10	27.023
2.69017e-10	26.2719
2.84728e-10	25.5569
3.01357e-10	24.8438
3.18958e-10	24.1349
3.37586e-10	23.4682
3.57302e-10	22.8015
3.7817e-10	22.1658
4.00257e-10	21.5457
4.23633e-10	20.9301
4.48375e-10	20.3551
4.74562e-10	19.7831
5.02278e-10	19.2236
5.31613e-10	18.7066
5.62661e-10	18.1599
5.95522e-10	17.67
6.30303e-10	17.1625
6.67115e-10	16.6903
7.06077e-10	16.221
7.47315e-10	15.7596
7.90961e-10	15.3253
8.37156e-10	14.8958
8.86049e-10	14.4799
9.37797e-10	14.0907
9.92568e-10	13.6787
1.05054e-09	13.3078
1.11189e-09	12.9255
1.17683e-09	12.5706
1.24556e-09	12.2083
1.31831e-09	11.8751
1.3953e-09	11.5377
1.47679e-09	11.2154
1.56304e-09	10.9036
1.65433e-09	10.5962
1.75095e-09	10.2962
1.85321e-09	10.0243
1.96145e-09	9.73651
2.076e-09	9.46301
2.19725e-09	9.1929
2.32558e-09	8.93913
2.4614e-09	8.68965
2.60515e-09	8.44499
2.75731e-09	8.20718
2.91834e-09	7.9889
3.08878e-09	7.75788
3.26918e-09	7.54564
3.46011e-09	7.3296
3.6622e-09	7.12826
3.87608e-09	6.92242
4.10246e-09	6.73397
4.34206e-09	6.54405
4.59565e-09	6.35921
4.86406e-09	6.1836
5.14813e-09	6.0134
5.4488e-09	5.84595
5.76704e-09	5.68088
6.10385e-09	5.52216
6.46034e-09	5.36802
6.83765e-09	5.21507
7.23699e-09	5.07205
7.65966e-09	4.92942
8.10701e-09	4.79013
8.58049e-09	4.65828
9.08162e-09	4.5326
9.61202e-09	4.40675
1.01734e-08	4.28054
1.07676e-08	4.16351
1.13964e-08	4.04408
1.2062e-08	3.93307
1.27665e-08	3.82182
1.35121e-08	3.7149
1.43013e-08	3.61195
1.51365e-08	3.50969
1.60205e-08	3.41255
1.69562e-08	3.31837
1.79465e-08	3.22792
1.89946e-08	3.14027
2.0104e-08	3.04899
2.12782e-08	2.96776
2.25209e-08	2.88179
2.38362e-08	2.80407
2.52283e-08	2.72334
2.67017e-08	2.65059
2.82612e-08	2.57429
2.99118e-08	2.50477
3.16587e-08	2.43323
3.35077e-08	2.36699
3.54647e-08	2.30097
3.7536e-08	2.23616
3.97282e-08	2.17529
4.20485e-08	2.11541
4.45043e-08	2.05769
4.71035e-08	2.00305
4.98545e-08	1.94522
5.27662e-08	1.89367
5.58479e-08	1.83965
5.91097e-08	1.79025
6.25619e-08	1.73926
6.62157e-08	1.69279
7.0083e-08	1.64579
7.41761e-08	1.60045
7.85083e-08	1.55713
8.30934e-08	1.51455
8.79464e-08	1.47336
