step	energy
0	2e+06
1	1.11871e+06
2	611665
3	337969
4	182783
5	100519
6	55367.6
7	30433
8	17109.1
9	9471.4
10	5125.7
11	2909.77
12	1573.13
13	858.326
14	474.403
15	273.255
16	145.29
17	81.0386
18	45.1236
19	23.5638
20	13.1655
21	6.98302
22	3.96773
23	2.2556
24	1.36817
25	0.613817
26	0.360138
27	0.222984
28	0.138773
29	0.0942197
30	0.0668232
31	0.0561473
32	0.0472809
33	0.0429932
34	0.0410387
35	0.0400156
36	0.0388392
37	0.0376085
38	0.0390424
39	0.0377886
40	0.0377792
41	0.0385618
42	0.0380507
43	0.0372795
44	0.0371255
45	0.0379643
46	0.0371959
47	0.0374834
48	0.0377073
49	0.0380402
50	0.0379184
51	0.0384076
52	0.0389617
53	0.0383615
54	0.0376242
55	0.0374872
56	0.0373059
57	0.0370517
58	0.0375888
59	0.0373218
60	0.0370754
61	0.036747
62	0.0363676
63	0.0372078
64	0.036218
65	0.037076
66	0.0368631
67	0.0371235
68	0.0383002
69	0.0387265
70	0.039186
71	0.0387834
72	0.0381745
73	0.0377239
74	0.0383548
75	0.0380945
76	0.0374331
77	0.0373838
78	0.0373502
79	0.0376682
80	0.0384542
