step	h1_energy	h2_energy
0	2e+06	2e+06
1	1.00908e+06	1.11871e+06
2	496170	611665
3	247828	337969
4	120702	182783
5	59863.4	100519
6	29783.5	55367.6
7	14916.5	30433
8	7545.63	17109.1
9	3833.3	9471.4
10	1892.38	5125.7
11	984.985	2909.77
12	441.166	1573.13
13	203.299	858.326
14	97.546	474.403
15	49.4285	273.255
16	21.8226	145.29
17	11.0338	81.0386
18	5.21395	45.1236
19	2.56628	23.5638
20	1.47241	13.1655
21	0.773771	6.98302
22	0.387047	3.96773
23	0.215699	2.2556
24	0.119622	1.36817
25	0.0690672	0.613863
26	0.0528258	0.360313
27	0.046961	0.223091
28	0.0450485	0.138825
29	0.0411242	0.0942583
30	0.0395711	0.0668472
31	0.0398318	0.0561738
32	0.0405163	0.047296
33	0.0397756	0.0430068
34	0.0382283	0.0410547
35	0.0372714	0.0400256
36	0.0379353	0.038835
37	0.0375022	0.0375906
38	0.0375992	0.0390309
39	0.037403	0.0378257
40	0.0372442	0.0378027
41	0.0378366	0.0385059
42	0.038966	0.0380448
43	0.037804	0.0372884
44	0.0372453	0.0371526
45	0.038149	0.0379961
46	0.0375174	0.0372424
47	0.0378738	0.0375268
48	0.0374623	0.0377531
49	0.0385549	0.0380947
50	0.0384281	0.0379698
51	0.0378411	0.0384417
52	0.0381392	0.039006
53	0.0369359	0.0383215
54	0.037364	0.0376262
55	0.0374551	0.0375091
56	0.0376246	0.0372931
57	0.0367118	0.0370721
58	0.0365106	0.0376313
59	0.0357952	0.0373184
60	0.0357874	0.0370581
61	0.0362851	0.036712
62	0.0365279	0.0363874
63	0.0370118	0.0372413
64	0.0362884	0.0362631
65	0.0377343	0.0371061
66	0.0389196	0.0368587
67	0.0382154	0.0371222
68	0.0378415	0.0382692
69	0.0383582	0.0386362
70	0.0382152	0.039141
71	0.0373904	0.0387429
72	0.0383729	0.0381759
73	0.0372323	0.0377891
74	0.03736	0.0384037
75	0.0377151	0.0381236
76	0.0369983	0.0374579
77	0.0374788	0.0374545
78	0.037862	0.0374715
79	0.0381628	0.0377013
80	0.0387366	0.038479
