energy	u235_fission	u235_capture	u238_fission	u238_capture
1e-05	30364.2	5974.02	0.000591236	136.202
1.0584e-05	29552.9	5814.39	0.000575437	132.563
1.12022e-05	28694.1	5645.44	0.000558716	128.711
1.18564e-05	27915	5492.14	0.000543545	125.216
1.25489e-05	27109.2	5333.61	0.000527855	121.601
1.32818e-05	26368.2	5187.81	0.000513426	118.277
1.40575e-05	25623.6	5041.32	0.000498927	114.937
1.48785e-05	24899.5	4898.86	0.000484829	111.689
1.57475e-05	24210.8	4763.36	0.000471418	108.6
1.66672e-05	23530.6	4629.53	0.000458173	105.549
1.76406e-05	22869.9	4499.55	0.000445309	102.585
1.86709e-05	22259	4379.36	0.000433413	99.8449
1.97613e-05	21612.4	4252.14	0.000420823	96.9445
2.09155e-05	21022.9	4136.16	0.000409123	94.2493
2.2137e-05	20425.1	4018.54	0.000397499	91.5713
2.34299e-05	19856.5	3906.67	0.000386394	89.0132
2.47983e-05	19293.7	3795.94	0.000375649	86.5378
2.62466e-05	18758.9	3690.74	0.000365095	84.1065
2.77795e-05	18219.3	3584.57	0.000354884	81.7543
2.94019e-05	17721.1	3486.55	0.000345333	79.5541
3.11191e-05	17221.4	3388.23	0.000335225	77.2254
3.29366e-05	16732.9	3292.13	0.000326168	75.139
3.48602e-05	16270.5	3201.15	0.000316717	72.9617
3.68962e-05	15828.4	3114.16	0.000308101	70.977
3.9051e-05	15390	3027.91	0.000299261	68.9405
4.13318e-05	14941.6	2939.69	0.000291016	67.0411
4.37457e-05	14532	2859.11	0.000282849	65.1597
4.63006e-05	14119.2	2777.89	0.000274779	63.3005
4.90047e-05	13724.8	2700.29	0.0002672	61.5546
5.18668e-05	13347.7	2626.09	0.000259893	59.8715
5.4896e-05	12971.3	2552.04	0.000252564	58.1831
5.81022e-05	12608.3	2480.63	0.000245497	56.5551
6.14955e-05	12251.6	2410.45	0.000238552	54.9551
6.50871e-05	11912.1	2343.65	0.00023194	53.432
6.88884e-05	11569.9	2276.33	0.000225278	51.8971
7.29118e-05	11252.6	2213.89	0.000219098	50.4735
7.71701e-05	10936.8	2151.77	0.00021295	49.0572
8.16771e-05	10626.4	2090.7	0.000206905	47.6648
8.64474e-05	10330.7	2032.51	0.000201147	46.3382
9.14962e-05	10053.5	1977.97	0.000195749	45.0947
9.68399e-05	9770.05	1922.21	0.000190231	43.8235
0.000102496	9492.81	1867.66	0.000184832	42.5799
0.000108482	9229.84	1815.92	0.000179712	41.4002
0.000114818	8967.18	1764.25	0.000174598	40.2221
0.000121523	8717.97	1715.22	0.000169745	39.1042
0.000128621	8472.99	1667.02	0.000164975	38.0053
0.000136133	8232.81	1619.76	0.000160298	36.928
0.000144083	8005.49	1575.04	0.000155872	35.9083
0.000152498	7779.02	1530.48	0.000151462	34.8924
0.000161405	7559.87	1487.36	0.000147195	33.9094
0.000170832	7350.3	1446.13	0.000143114	32.9694
0.000180809	7150.01	1406.72	0.000139214	32.071
0.000191369	6951.99	1367.76	0.000135359	31.1828
0.000202545	6750.7	1328.15	0.000131421	30.2756
0.000214375	6567.36	1292.08	0.000127766	29.4337
0.000226895	6376.36	1254.5	0.000124202	28.6128
0.000240147	6203.28	1220.45	0.000120684	27.8022
0.000254172	6025.46	1185.46	0.000117301	27.0228
0.000269017	5859.17	1152.74	0.000114041	26.2718
0.000284728	5694.52	1120.34	0.000110937	25.5568
0.000301357	5532.46	1088.45	0.000107841	24.8437
0.000318958	5380.03	1058.45	0.000104764	24.1348
0.000337586	5229.1	1028.75	0.00010187	23.4681
0.000357302	5082.52	999.899	9.89753e-05	22.8014
0.00037817	4946.62	973.151	9.62161e-05	22.1657
0.000400257	4802.8	944.842	9.35242e-05	21.5456
0.000423633	4670.82	918.862	9.0852e-05	20.9301
0.000448375	4536.83	892.482	8.83557e-05	20.355
0.000474562	4412.38	867.976	8.58727e-05	19.783
0.000502278	4285.76	843.041	8.34439e-05	19.2235
0.000531613	4170.5	820.335	8.11997e-05	18.7065
0.000562661	4048.61	796.321	7.88263e-05	18.1598
0.000595522	3939.39	774.79	7.66995e-05	17.6699
0.000630303	3826.24	752.485	7.44964e-05	17.1624
0.000667115	3720.97	731.718	7.24467e-05	16.6902
0.000706077	3616.34	711.068	7.04094e-05	16.2209
0.000747315	3513.48	690.757	6.84066e-05	15.7596
0.000790961	3416.64	671.614	6.6521e-05	15.3252
0.000837156	3320.9	652.675	6.46569e-05	14.8958
0.000886049	3228.17	634.311	6.28514e-05	14.4799
0.000937797	3141.36	617.09	6.11615e-05	14.0906
0.000992568	3049.49	598.863	5.93729e-05	13.6786
0.00105054	2966.79	582.406	5.77631e-05	13.3078
0.00111189	2881.53	565.429	5.61034e-05	12.9255
0.00117683	2802.38	549.616	5.45627e-05	12.5706
0.00124556	2721.57	533.458	5.29898e-05	12.2082
0.00131831	2647.24	518.533	5.15434e-05	11.8751
0.0013953	2571.98	503.396	5.00786e-05	11.5377
0.00147679	2500.06	488.879	4.86792e-05	11.2153
0.00156304	2430.5	474.788	4.73256e-05	10.9035
0.00165433	2361.91	460.856	4.59911e-05	10.5961
0.00175095	2294.99	447.214	4.4689e-05	10.2962
0.00185321	2234.32	434.762	4.35084e-05	10.0243
0.00196145	2170.11	421.584	4.2259e-05	9.73647
0.002076	2110.45	409.276	4.10716e-05	9.46297
0.00219725	2051.75	397.129	3.98989e-05	9.19286
0.00232558	1992.27	384.802	3.87971e-05	8.93909
0.0024614	1938.1	373.516	3.7714e-05	8.68962
