energy	macroscopic_cross_section
1e-11	2.09274e+25
1.0584e-11	2.0371e+25
1.12022e-11	1.97821e+25
1.18564e-11	1.92479e+25
1.25489e-11	1.86954e+25
1.32818e-11	1.81875e+25
1.40575e-11	1.76773e+25
1.48785e-11	1.71811e+25
1.57475e-11	1.67093e+25
1.66672e-11	1.62435e+25
1.76406e-11	1.57911e+25
1.86709e-11	1.53729e+25
1.97613e-11	1.49303e+25
2.09155e-11	1.45238e+25
2.2137e-11	1.41203e+25
2.34299e-11	1.37298e+25
2.47983e-11	1.33495e+25
2.62466e-11	1.29765e+25
2.77795e-11	1.26177e+25
2.94019e-11	1.22831e+25
3.11191e-11	1.1929e+25
3.29366e-11	1.1611e+25
3.48602e-11	1.12792e+25
3.68962e-11	1.09815e+25
3.9051e-11	1.06756e+25
4.13318e-11	1.03841e+25
4.37457e-11	1.00959e+25
4.63006e-11	9.81174e+24
4.90047e-11	9.54477e+24
5.18668e-11	9.28885e+24
5.4896e-11	9.03301e+24
5.81022e-11	8.78648e+24
6.14955e-11	8.54431e+24
6.50871e-11	8.31396e+24
6.88884e-11	8.08192e+24
7.29118e-11	7.86694e+24
7.71701e-11	7.65316e+24
8.16771e-11	7.44312e+24
8.64474e-11	7.2432e+24
9.14962e-11	7.05602e+24
9.68399e-11	6.86471e+24
1.02496e-10	6.67771e+24
1.08482e-10	6.50053e+24
1.14818e-10	6.32368e+24
1.21523e-10	6.15607e+24
1.28621e-10	5.99144e+24
1.36133e-10	5.83018e+24
1.44083e-10	5.67775e+24
1.52498e-10	5.52599e+24
1.61405e-10	5.37931e+24
1.70832e-10	5.23921e+24
1.80809e-10	5.10547e+24
1.91369e-10	4.97338e+24
2.02545e-10	4.83892e+24
2.14375e-10	4.71579e+24
2.26895e-10	4.59473e+24
2.40147e-10	4.47443e+24
2.54172e-10	4.35809e+24
2.69017e-10	4.24643e+24
2.84728e-10	4.14086e+24
3.01357e-10	4.03607e+24
3.18958e-10	3.93172e+24
3.37586e-10	3.83328e+24
3.57302e-10	3.73553e+24
3.7817e-10	3.64366e+24
4.00257e-10	3.55303e+24
4.23633e-10	3.46225e+24
4.48375e-10	3.37745e+24
4.74562e-10	3.29307e+24
5.02278e-10	3.21057e+24
5.31613e-10	3.13517e+24
5.62661e-10	3.05544e+24
5.95522e-10	2.98411e+24
6.30303e-10	2.91025e+24
6.67115e-10	2.84161e+24
7.06077e-10	2.77343e+24
7.47315e-10	2.70645e+24
7.90961e-10	2.64346e+24
8.37156e-10	2.58121e+24
8.86049e-10	2.52097e+24
9.37797e-10	2.46463e+24
9.92568e-10	2.405e+24
1.05054e-09	2.35138e+24
1.11189e-09	2.29611e+24
1.17683e-09	2.24483e+24
1.24556e-09	2.19249e+24
1.31831e-09	2.14439e+24
1.3953e-09	2.09568e+24
1.47679e-09	2.04916e+24
1.56304e-09	2.00417e+24
1.65433e-09	1.95983e+24
1.75095e-09	1.91656e+24
1.85321e-09	1.87735e+24
1.96145e-09	1.83584e+24
2.076e-09	1.79697e+24
2.19725e-09	1.75884e+24
2.32558e-09	1.72192e+24
2.4614e-09	1.68558e+24
2.60515e-09	1.65013e+24
2.75731e-09	1.61623e+24
2.91834e-09	1.58461e+24
3.08878e-09	1.55114e+24
3.26918e-09	1.52046e+24
3.46011e-09	1.48926e+24
3.6622e-09	1.46035e+24
3.87608e-09	1.43086e+24
4.10246e-09	1.40374e+24
4.34206e-09	1.37641e+24
4.59565e-09	1.34979e+24
4.86406e-09	1.32449e+24
5.14813e-09	1.30001e+24
5.4488e-09	1.276e+24
5.76704e-09	1.25233e+24
6.10385e-09	1.22956e+24
6.46034e-09	1.20743e+24
6.83765e-09	1.18545e+24
