energy	macroscopic_cross_section
1e-11	8.15995e+25
1.0584e-11	7.94198e+25
1.12022e-11	7.71129e+25
1.18564e-11	7.50198e+25
1.25489e-11	7.28551e+25
1.32818e-11	7.08645e+25
1.40575e-11	6.88643e+25
1.48785e-11	6.69192e+25
1.57475e-11	6.50691e+25
1.66672e-11	6.3242e+25
1.76406e-11	6.14674e+25
1.86709e-11	5.98264e+25
1.97613e-11	5.80896e+25
2.09155e-11	5.64757e+25
2.2137e-11	5.48721e+25
2.34299e-11	5.33404e+25
2.47983e-11	5.18582e+25
2.62466e-11	5.04025e+25
2.77795e-11	4.89941e+25
2.94019e-11	4.76769e+25
3.11191e-11	4.62827e+25
3.29366e-11	4.50336e+25
3.48602e-11	4.37301e+25
3.68962e-11	4.2542e+25
3.9051e-11	4.13229e+25
4.13318e-11	4.01859e+25
4.37457e-11	3.90597e+25
4.63006e-11	3.79469e+25
4.90047e-11	3.69019e+25
5.18668e-11	3.58946e+25
5.4896e-11	3.48842e+25
5.81022e-11	3.39099e+25
6.14955e-11	3.29525e+25
6.50871e-11	3.20411e+25
6.88884e-11	3.11227e+25
7.29118e-11	3.02711e+25
7.71701e-11	2.94238e+25
8.16771e-11	2.85908e+25
8.64474e-11	2.77973e+25
9.14962e-11	2.70536e+25
9.68399e-11	2.62933e+25
1.02496e-10	2.55496e+25
1.08482e-10	2.48443e+25
1.14818e-10	2.41399e+25
1.21523e-10	2.34716e+25
1.28621e-10	2.28148e+25
1.36133e-10	2.21708e+25
1.44083e-10	2.15615e+25
1.52498e-10	2.09545e+25
1.61405e-10	2.03672e+25
1.70832e-10	1.98057e+25
1.80809e-10	1.92691e+25
1.91369e-10	1.87388e+25
2.02545e-10	1.81971e+25
2.14375e-10	1.76946e+25
2.26895e-10	1.72046e+25
2.40147e-10	1.67256e+25
2.54172e-10	1.62849e+25
2.69017e-10	1.58185e+25
2.84728e-10	1.53819e+25
3.01357e-10	1.49568e+25
3.18958e-10	1.45343e+25
3.37586e-10	1.41372e+25
3.57302e-10	1.37401e+25
3.7817e-10	1.33616e+25
4.00257e-10	1.29926e+25
4.23633e-10	1.26263e+25
4.48375e-10	1.22844e+25
4.74562e-10	1.19443e+25
5.02278e-10	1.16119e+25
5.31613e-10	1.13049e+25
5.62661e-10	1.09802e+25
5.95522e-10	1.06896e+25
6.30303e-10	1.03886e+25
6.67115e-10	1.01088e+25
7.06077e-10	9.83077e+24
7.47315e-10	9.55764e+24
7.90961e-10	9.3139e+24
8.37156e-10	9.05906e+24
8.86049e-10	8.80126e+24
9.37797e-10	8.5716e+24
9.92568e-10	8.32853e+24
1.05054e-09	8.11014e+24
1.11189e-09	7.88504e+24
1.17683e-09	7.6764e+24
1.24556e-09	7.46349e+24
1.31831e-09	7.26805e+24
1.3953e-09	7.07025e+24
1.47679e-09	6.88155e+24
1.56304e-09	6.70638e+24
1.65433e-09	6.53054e+24
1.75095e-09	6.3448e+24
1.85321e-09	6.18662e+24
1.96145e-09	6.0192e+24
2.076e-09	5.86652e+24
2.19725e-09	5.71809e+24
2.32558e-09	5.56099e+24
2.4614e-09	5.41762e+24
2.60515e-09	5.27974e+24
2.75731e-09	5.13513e+24
2.91834e-09	5.01006e+24
3.08878e-09	4.87767e+24
3.26918e-09	4.75656e+24
3.46011e-09	4.63343e+24
3.6622e-09	4.52533e+24
3.87608e-09	4.41671e+24
4.10246e-09	4.30174e+24
4.34206e-09	4.19137e+24
4.59565e-09	4.09376e+24
4.86406e-09	3.99045e+24
5.14813e-09	3.89599e+24
5.4488e-09	3.81049e+24
5.76704e-09	3.71999e+24
6.10385e-09	3.6242e+24
6.46034e-09	3.53918e+24
6.83765e-09	3.46122e+24
7.23699e-09	3.37871e+24
7.65966e-09	3.29912e+24
8.10701e-09	3.22838e+24
8.58049e-09	3.15351e+24
9.08162e-09	3.08507e+24
9.61202e-09	3.01847e+24
1.01734e-08	2.95347e+24
1.07676e-08	2.89764e+24
1.13964e-08	2.83855e+24
1.2062e-08	2.77601e+24
1.27665e-08	2.7169e+24
1.35121e-08	2.66664e+24
1.43013e-08	2.61345e+24
1.51365e-08	2.55939e+24
1.60205e-08	2.51435e+24
1.69562e-08	2.46667e+24
1.79465e-08	2.4211e+24
1.89946e-08	2.37918e+24
2.0104e-08	2.33595e+24
2.12782e-08	2.30173e+24
2.25209e-08	2.26551e+24
2.38362e-08	2.22718e+24
2.52283e-08	2.1866e+24
2.67017e-08	2.16111e+24
2.82612e-08	2.13507e+24
2.99118e-08	2.10752e+24
3.16587e-08	2.07835e+24
3.35077e-08	2.04748e+24
3.54647e-08	2.01481e+24
3.7536e-08	1.98023e+24
3.97282e-08	1.95958e+24
4.20485e-08	1.93866e+24
4.45043e-08	1.91651e+24
4.71035e-08	1.89307e+24
4.98545e-08	1.86826e+24
5.27662e-08	1.8514e+24
