energy	water_macroscopic	uranium_macroscopic
1e-05	8.15995e+25	2.09274e+25
1.0584e-05	7.94198e+25	2.0371e+25
1.12022e-05	7.71129e+25	1.97821e+25
1.18564e-05	7.50198e+25	1.92479e+25
1.25489e-05	7.28551e+25	1.86954e+25
1.32818e-05	7.08645e+25	1.81875e+25
1.40575e-05	6.88643e+25	1.76773e+25
1.48785e-05	6.69192e+25	1.71811e+25
1.57475e-05	6.50691e+25	1.67093e+25
1.66672e-05	6.3242e+25	1.62435e+25
1.76406e-05	6.14674e+25	1.57911e+25
1.86709e-05	5.98264e+25	1.53729e+25
1.97613e-05	5.80896e+25	1.49303e+25
2.09155e-05	5.64757e+25	1.45238e+25
2.2137e-05	5.48721e+25	1.41203e+25
2.34299e-05	5.33404e+25	1.37298e+25
2.47983e-05	5.18582e+25	1.33495e+25
2.62466e-05	5.04025e+25	1.29765e+25
2.77795e-05	4.89941e+25	1.26177e+25
2.94019e-05	4.76769e+25	1.22831e+25
3.11191e-05	4.62827e+25	1.1929e+25
3.29366e-05	4.50336e+25	1.1611e+25
3.48602e-05	4.37301e+25	1.12792e+25
3.68962e-05	4.2542e+25	1.09815e+25
3.9051e-05	4.13229e+25	1.06756e+25
4.13318e-05	4.01859e+25	1.03841e+25
4.37457e-05	3.90597e+25	1.00959e+25
4.63006e-05	3.79469e+25	9.81174e+24
4.90047e-05	3.69019e+25	9.54477e+24
5.18668e-05	3.58946e+25	9.28885e+24
5.4896e-05	3.48842e+25	9.03301e+24
5.81022e-05	3.39099e+25	8.78648e+24
6.14955e-05	3.29525e+25	8.54431e+24
6.50871e-05	3.20411e+25	8.31396e+24
6.88884e-05	3.11227e+25	8.08192e+24
7.29118e-05	3.02711e+25	7.86694e+24
7.71701e-05	2.94238e+25	7.65316e+24
8.16771e-05	2.85908e+25	7.44312e+24
8.64474e-05	2.77973e+25	7.2432e+24
9.14962e-05	2.70536e+25	7.05602e+24
9.68399e-05	2.62933e+25	6.86471e+24
0.000102496	2.55496e+25	6.67771e+24
0.000108482	2.48443e+25	6.50053e+24
0.000114818	2.41399e+25	6.32368e+24
0.000121523	2.34716e+25	6.15607e+24
0.000128621	2.28148e+25	5.99144e+24
0.000136133	2.21708e+25	5.83018e+24
0.000144083	2.15615e+25	5.67775e+24
0.000152498	2.09545e+25	5.52599e+24
0.000161405	2.03672e+25	5.37931e+24
0.000170832	1.98057e+25	5.23921e+24
0.000180809	1.92691e+25	5.10547e+24
0.000191369	1.87388e+25	4.97338e+24
0.000202545	1.81971e+25	4.83892e+24
0.000214375	1.76946e+25	4.71579e+24
0.000226895	1.72046e+25	4.59473e+24
0.000240147	1.67256e+25	4.47443e+24
0.000254172	1.62849e+25	4.35809e+24
0.000269017	1.58185e+25	4.24643e+24
0.000284728	1.53819e+25	4.14086e+24
0.000301357	1.49568e+25	4.03607e+24
0.000318958	1.45343e+25	3.93172e+24
0.000337586	1.41372e+25	3.83328e+24
0.000357302	1.37401e+25	3.73553e+24
0.00037817	1.33616e+25	3.64366e+24
0.000400257	1.29926e+25	3.55303e+24
0.000423633	1.26263e+25	3.46225e+24
0.000448375	1.22844e+25	3.37745e+24
0.000474562	1.19443e+25	3.29307e+24
0.000502278	1.16119e+25	3.21057e+24
0.000531613	1.13049e+25	3.13517e+24
0.000562661	1.09802e+25	3.05544e+24
0.000595522	1.06896e+25	2.98411e+24
0.000630303	1.03886e+25	2.91025e+24
0.000667115	1.01088e+25	2.84161e+24
0.000706077	9.83077e+24	2.77343e+24
0.000747315	9.55764e+24	2.70645e+24
0.000790961	9.3139e+24	2.64346e+24
0.000837156	9.05906e+24	2.58121e+24
0.000886049	8.80126e+24	2.52097e+24
0.000937797	8.5716e+24	2.46463e+24
0.000992568	8.32853e+24	2.405e+24
0.00105054	8.11014e+24	2.35138e+24
0.00111189	7.88504e+24	2.29611e+24
0.00117683	7.6764e+24	2.24483e+24
0.00124556	7.46349e+24	2.19249e+24
0.00131831	7.26805e+24	2.14439e+24
0.0013953	7.07025e+24	2.09568e+24
0.00147679	6.88155e+24	2.04916e+24
0.00156304	6.70638e+24	2.00417e+24
0.00165433	6.53054e+24	1.95983e+24
0.00175095	6.3448e+24	1.91656e+24
0.00185321	6.18662e+24	1.87735e+24
0.00196145	6.0192e+24	1.83584e+24
0.002076	5.86652e+24	1.79697e+24
0.00219725	5.71809e+24	1.75884e+24
0.00232558	5.56099e+24	1.72192e+24
0.0024614	5.41762e+24	1.68558e+24
0.00260515	5.27974e+24	1.65013e+24
0.00275731	5.13513e+24	1.61623e+24
0.00291834	5.01006e+24	1.58461e+24
0.00308878	4.87767e+24	1.55114e+24
0.00326918	4.75656e+24	1.52046e+24
0.00346011	4.63343e+24	1.48926e+24
0.0036622	4.52533e+24	1.46035e+24
0.00387608	4.41671e+24	1.43086e+24
0.00410246	4.30174e+24	1.40374e+24
0.00434206	4.19137e+24	1.37641e+24
0.00459565	4.09376e+24	1.34979e+24
0.00486406	3.99045e+24	1.32449e+24
0.00514813	3.89599e+24	1.30001e+24
0.0054488	3.81049e+24	1.276e+24
0.00576704	3.71999e+24	1.25233e+24
0.00610385	3.6242e+24	1.22956e+24
0.00646034	3.53918e+24	1.20743e+24
0.00683765	3.46122e+24	1.18545e+24
0.00723699	3.37871e+24	1.16485e+24
0.00765966	3.29912e+24	1.14429e+24
0.00810701	3.22838e+24	1.12418e+24
0.00858049	3.15351e+24	1.10512e+24
0.00908162	3.08507e+24	1.08697e+24
0.00961202	3.01847e+24	1.0688e+24
0.0101734	2.95347e+24	1.05059e+24
0.0107676	2.89764e+24	1.03371e+24
0.0113964	2.83855e+24	1.01648e+24
0.012062	2.77601e+24	1.00045e+24
0.0127665	2.7169e+24	9.84373e+23
0.0135121	2.66664e+24	9.68896e+23
0.0143013	2.61345e+24	9.53961e+23
0.0151365	2.55939e+24	9.39102e+23
0.0160205	2.51435e+24	9.24936e+23
0.0169562	2.46667e+24	9.11159e+23
0.0179465	2.4211e+24	8.97892e+23
0.0189946	2.37918e+24	8.85005e+23
0.020104	2.33595e+24	8.71586e+23
0.0212782	2.30173e+24	8.59639e+23
0.0225209	2.26551e+24	8.46994e+23
0.0238362	2.22718e+24	8.35486e+23
0.0252283	2.1866e+24	8.23522e+23
0.0267017	2.16111e+24	8.12629e+23
0.0282612	2.13507e+24	8.01195e+23
0.0299118	2.10752e+24	7.90841e+23
0.0316587	2.07835e+24	7.80191e+23
0.0335077	2.04748e+24	7.70325e+23
0.0354647	2.01481e+24	7.60466e+23
0.037536	1.98023e+24	7.50753e+23
0.0397282	1.95958e+24	7.41582e+23
0.0420485	1.93866e+24	7.32544e+23
0.0445043	1.91651e+24	7.23811e+23
0.0471035	1.89307e+24	7.15505e+23
0.0498545	1.86826e+24	7.06714e+23
0.0527662	1.8514e+24	6.99044e+23
0.0558479	1.83408e+24	6.91018e+23
